payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
199;37;1640;1634;1634;1634
200;38;1639;1642;1645;1642
201;38;1644;1639;1639;1636
202;38;1642;1638;1638;1638
203;38;1640;1642;1637;1637
204;38;1644;1639;1636;1636
205;44;1635;1637;1637;1639
206;38;1637;1641;1635;1635
207;38;1644;1637;1636;1635
208;38;1637;1637;1643;1639
209;37;1642;1646;1640;1638
210;37;1639;1636;1635;1638
211;38;1641;1640;1645;1641
212;38;1641;1638;1634;1636
213;38;1641;1637;1639;1638
214;37;1637;1641;1637;1636
215;37;1641;1636;1635;1637
216;44;1636;1635;1639;1641
217;38;1641;1643;1639;1636
218;38;1645;1640;1639;1638
219;38;1640;1640;1642;1636
220;37;1641;1645;1639;1635
221;37;1643;1638;1635;1635
222;38;1639;1641;1640;1636
223;38;1643;1640;1639;1635
224;38;1636;1631;1632;1636
225;38;1641;1643;1645;1640
226;38;1642;1639;1636;1638
227;44;1638;1638;1638;1639
228;38;1637;1645;1642;1640
229;38;1638;1635;1636;1636
230;38;1639;1638;1642;1639
231;38;1641;1645;1642;1637
232;38;1641;1636;1634;1633
233;37;1637;1638;1644;1640
234;38;1642;1639;1637;1638
235;37;1641;1639;1638;1639
236;38;1639;1641;1638;1637
237;38;1644;1640;1638;1637
238;44;1635;1635;1637;1638
239;38;1638;1637;1634;1632
240;38;1638;1634;1634;1635
241;37;1638;1635;1638;1634
242;38;1639;1646;1641;1640
243;38;1639;1638;1635;1637
244;38;1640;1640;1645;1641
245;38;1641;1638;1637;1636
246;37;1635;1635;1635;1638
247;37;1641;1643;1647;1639
248;38;1640;1637;1638;1639
249;44;1636;1634;1636;1638
250;38;1639;1642;1640;1638
251;38;1639;1637;1638;1639
252;37;1641;1640;1645;1642
253;38;1636;1629;1636;1636
254;38;1635;1635;1635;1636
255;38;1638;1634;1630;1630
256;38;1636;1633;1634;1633
257;38;1630;1633;1636;1635
258;37;1640;1640;1635;1631
259;38;1643;1639;1637;1638
260;44;1641;1640;1638;1640
261;38;1641;1643;1640;1639
262;38;1632;1633;1636;1636
263;38;1637;1635;1638;1637
264;37;1642;1647;1647;1639
265;37;1643;1639;1637;1634
266;38;1637;1630;1639;1630
267;38;1645;1646;1639;1638
268;38;1638;1638;1640;1640
269;38;1640;1643;1642;1639
270;38;1637;1635;1637;1636
271;44;1635;1635;1636;1640
272;38;1637;1640;1634;1635
273;38;1638;1635;1636;1637
274;38;1639;1638;1645;1641
275;37;1643;1642;1638;1638
276;38;1639;1639;1637;1640
277;37;1640;1642;1647;1640
278;38;1644;1641;1639;1638
279;38;1640;1636;1637;1639
280;38;1639;1642;1638;1637
281;38;1646;1643;1638;1636
282;44;1635;1634;1634;1638
283;38;1636;1639;1639;1639
284;38;1647;1641;1640;1639
285;38;1640;1643;1643;1640
286;38;1642;1646;1639;1641
287;38;1637;1635;1636;1636
