payload_number;time_stamp;time_adc;time_tx;sg_1;sg_2;sg_3;sg_4
167;2227574;7;87;2237;0;0;0
168;2228574;8;82;2204;0;0;0
169;2229574;9;81;2253;0;0;0
170;2230574;7;81;2170;0;0;0
171;2231574;8;81;2134;0;0;0
172;2232574;8;82;2199;0;0;0
173;2233574;9;81;2227;0;0;0
174;2234574;8;81;2226;0;0;0
175;2235574;7;81;2188;0;0;0
176;2236574;7;81;2183;0;0;0
177;2237574;9;81;2186;0;0;0
178;2238574;7;87;2186;0;0;0
179;2239574;7;81;2191;0;0;0
180;2240574;7;81;2227;0;0;0
181;2241574;9;81;2246;0;0;0
182;2242574;8;81;2216;0;0;0
183;2243574;7;81;2183;0;0;0
184;2244574;7;81;2181;0;0;0
185;2245574;9;81;2190;0;0;0
186;2246574;8;81;2196;0;0;0
187;2247574;7;81;2179;0;0;0
188;2248574;8;81;2218;0;0;0
189;2249574;9;86;2232;0;0;0
190;2250574;7;81;2222;0;0;0
191;2251574;8;81;2215;0;0;0
192;2252574;7;81;2184;0;0;0
193;2253574;9;81;2193;0;0;0
194;2254574;8;81;2189;0;0;0
195;2255574;8;81;2182;0;0;0
196;2256574;8;81;2126;0;0;0
197;2257574;9;81;2180;0;0;0
198;2258574;7;81;2273;0;0;0
199;2259574;8;81;2248;0;0;0
200;2260574;7;87;2232;0;0;0
201;2261574;9;81;2224;0;0;0
202;2262574;8;81;2192;0;0;0
203;2263574;7;81;2199;0;0;0
204;2264574;8;81;2127;0;0;0
205;2265574;9;81;2165;0;0;0
206;2266574;7;81;2172;0;0;0
207;2267574;7;81;2247;0;0;0
208;2268574;7;81;2287;0;0;0
209;2269574;9;81;2221;0;0;0
210;2270574;7;81;2218;0;0;0
211;2271574;8;87;2199;0;0;0
212;2272574;7;81;2155;0;0;0
213;2273574;9;81;2184;0;0;0
214;2274574;8;82;2187;0;0;0
215;2275574;8;81;2208;0;0;0
216;2276574;7;81;2226;0;0;0
217;2277574;9;81;2224;0;0;0
218;2278574;7;81;2225;0;0;0
219;2279574;7;81;2188;0;0;0
220;2280574;8;81;2184;0;0;0
221;2281574;9;81;2200;0;0;0
222;2282574;7;87;2182;0;0;0
223;2283574;7;81;2181;0;0;0
224;2284574;7;81;2216;0;0;0
225;2285574;9;81;2228;0;0;0
226;2286574;8;81;2279;0;0;0
227;2287574;7;81;2226;0;0;0
228;2288574;8;81;2208;0;0;0
229;2289574;9;81;2190;0;0;0
230;2290574;8;81;2192;0;0;0
231;2291574;8;81;2164;0;0;0
232;2292574;7;81;2204;0;0;0
233;2293574;9;85;2222;0;0;0
234;2294574;7;81;2226;0;0;0
235;2295574;8;81;2220;0;0;0
236;2296574;7;81;2192;0;0;0
237;2297574;9;81;2193;0;0;0
238;2298574;8;81;2188;0;0;0
239;2299574;8;81;2179;0;0;0
240;2300574;7;81;2118;0;0;0
241;2301574;9;81;2209;0;0;0
242;2302574;7;81;2203;0;0;0
243;2303574;7;81;2227;0;0;0
244;2304574;8;87;2235;0;0;0
245;2305574;9;81;2210;0;0;0
246;2306574;8;81;2195;0;0;0
247;2307574;7;81;2194;0;0;0
248;2308574;8;81;2192;0;0;0
249;2309574;9;81;2169;0;0;0
250;2310574;7;81;2187;0;0;0
251;2311574;7;81;2220;0;0;0
252;2312574;7;81;2233;0;0;0
253;2313574;9;81;2228;0;0;0
254;2314574;8;81;2219;0;0;0
255;2315574;8;87;2200;0;0;0
256;2316574;7;81;2178;0;0;0
257;2317574;9;81;2199;0;0;0
258;2318574;8;81;2172;0;0;0
259;2319574;8;81;2200;0;0;0
260;2320574;7;81;2225;0;0;0
261;2321574;9;81;2236;0;0;0
262;2322574;8;82;2226;0;0;0
263;2323574;7;81;2190;0;0;0
264;2324574;7;81;2179;0;0;0
265;2325574;9;81;2201;0;0;0
266;2326574;7;87;2199;0;0;0
267;2327574;7;81;2124;0;0;0
268;2328574;7;81;2169;0;0;0
269;2329574;9;81;2227;0;0;0
270;2330574;8;81;2225;0;0;0
271;2331574;7;81;2203;0;0;0
272;2332574;8;81;2202;0;0;0
273;2333574;9;81;2191;0;0;0
274;2334574;8;81;2201;0;0;0
275;2335574;7;81;2150;0;0;0
276;2336574;8;81;2138;0;0;0
277;2337574;9;86;2230;0;0;0
278;2338574;8;82;2231;0;0;0
279;2339574;8;81;2224;0;0;0
280;2340574;7;81;2193;0;0;0
281;2341574;9;81;2188;0;0;0
282;2342574;8;81;2194;0;0;0
283;2343574;8;81;2248;0;0;0
284;2344574;8;81;2281;0;0;0
285;2345574;9;81;2174;0;0;0
286;2346574;7;81;2182;0;0;0
287;2347574;7;81;2217;0;0;0
288;2348574;8;87;2257;0;0;0
289;2349574;9;81;2208;0;0;0
290;2350574;7;81;2189;0;0;0
291;2351574;8;81;2197;0;0;0
292;2352574;8;82;2130;0;0;0
293;2353574;9;81;2166;0;0;0
294;2354574;8;82;2144;0;0;0
295;2355574;8;81;2146;0;0;0
296;2356574;7;81;2207;0;0;0
297;2357574;9;81;2224;0;0;0
298;2358574;7;81;2220;0;0;0
299;2359574;8;87;2199;0;0;0
300;2360574;8;81;2155;0;0;0
301;2361574;9;81;2188;0;0;0
302;2362574;8;81;2188;0;0;0
303;2363574;8;81;2212;0;0;0
304;2364574;7;81;2231;0;0;0
305;2365574;9;81;2224;0;0;0
306;2366574;8;81;2263;0;0;0
307;2367574;7;81;2212;0;0;0
308;2368574;8;81;2198;0;0;0
309;2369574;9;81;2199;0;0;0
310;2370574;7;87;2184;0;0;0
311;2371574;7;81;2186;0;0;0
312;2372574;8;81;2223;0;0;0
313;2373574;9;81;2219;0;0;0
314;2374574;8;81;2220;0;0;0
315;2375574;7;81;2196;0;0;0
316;2376574;8;81;2189;0;0;0
317;2377574;9;81;2186;0;0;0
318;2378574;8;81;2194;0;0;0
319;2379574;7;81;2181;0;0;0
320;2380574;8;81;2217;0;0;0
321;2381574;9;85;2224;0;0;0
322;2382574;7;81;2229;0;0;0
323;2383574;7;81;2220;0;0;0
324;2384574;8;81;2194;0;0;0
325;2385574;9;81;2195;0;0;0
326;2386574;8;81;2190;0;0;0
327;2387574;8;81;2182;0;0;0
328;2388574;8;81;2121;0;0;0
329;2389574;9;81;2173;0;0;0
330;2390574;7;81;2172;0;0;0
331;2391574;8;81;2217;0;0;0
332;2392574;7;87;2226;0;0;0
333;2393574;9;81;2217;0;0;0
334;2394574;7;81;2189;0;0;0
335;2395574;8;81;2201;0;0;0
336;2396574;8;81;2130;0;0;0
337;2397574;9;81;2164;0;0;0
338;2398574;7;81;2162;0;0;0
339;2399574;8;81;2202;0;0;0
340;2400574;7;81;2222;0;0;0
341;2401574;9;81;2237;0;0;0
342;2402574;7;81;2219;0;0;0
343;2403574;8;87;2196;0;0;0
344;2404574;7;81;2161;0;0;0
345;2405574;9;81;2195;0;0;0
346;2406574;8;81;2248;0;0;0
347;2407574;7;81;2240;0;0;0
348;2408574;8;81;2290;0;0;0
349;2409574;9;81;2224;0;0;0
350;2410574;8;82;2229;0;0;0
351;2411574;7;81;2189;0;0;0
352;2412574;8;81;2182;0;0;0
353;2413574;9;81;2191;0;0;0
354;2414574;7;87;2182;0;0;0
355;2415574;8;82;2173;0;0;0
356;2416574;7;81;2216;0;0;0
357;2417574;9;81;2225;0;0;0
358;2418574;8;81;2228;0;0;0
359;2419574;8;81;2205;0;0;0
360;2420574;8;81;2202;0;0;0
361;2421574;9;81;2186;0;0;0
362;2422574;8;81;2193;0;0;0
363;2423574;7;81;2158;0;0;0
364;2424574;7;81;2203;0;0;0
365;2425574;9;85;2218;0;0;0
366;2426574;7;81;2225;0;0;0
367;2427574;8;81;2226;0;0;0
368;2428574;7;81;2193;0;0;0
369;2429574;9;81;2195;0;0;0
370;2430574;8;81;2191;0;0;0
371;2431574;8;81;2192;0;0;0
372;2432574;7;81;2209;0;0;0
373;2433574;9;81;2174;0;0;0
374;2434574;7;81;2183;0;0;0
375;2435574;7;81;2219;0;0;0
376;2436574;8;87;2232;0;0;0
377;2437574;9;81;2216;0;0;0
378;2438574;8;82;2196;0;0;0
379;2439574;8;81;2194;0;0;0
380;2440574;8;81;2164;0;0;0
381;2441574;9;81;2154;0;0;0
382;2442574;7;81;2182;0;0;0
383;2443574;8;81;2222;0;0;0
384;2444574;7;81;2236;0;0;0
385;2445574;9;81;2230;0;0;0
386;2446574;8;81;2220;0;0;0
387;2447574;7;87;2197;0;0;0
388;2448574;8;82;2172;0;0;0
389;2449574;9;81;2193;0;0;0
390;2450574;8;82;2160;0;0;0
391;2451574;8;81;2188;0;0;0
392;2452574;7;81;2218;0;0;0
393;2453574;9;81;2225;0;0;0
394;2454574;8;81;2226;0;0;0
395;2455574;8;82;2188;0;0;0
396;2456574;8;81;2196;0;0;0
397;2457574;9;81;2198;0;0;0
398;2458574;7;87;2201;0;0;0
399;2459574;8;82;2124;0;0;0
